task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	8f/f1a40f	101673	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473985)	COMPLETED	0	2023-03-09 06:20:47.866	32.1s	31s	98.9%	2.8 GB	5.2 GB	950 MB	9.3 MB
19	5a/42781d	103394	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473984)	COMPLETED	0	2023-03-09 06:21:19.957	56.5s	56s	67.9%	2.8 GB	5.2 GB	953.3 MB	10.2 MB
20	8a/cc4032	105891	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473987)	COMPLETED	0	2023-03-09 06:22:16.511	56.2s	56s	99.5%	2.8 GB	5.2 GB	952.2 MB	9.3 MB
21	0e/0d93bd	107961	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473988)	COMPLETED	0	2023-03-09 06:23:12.743	1m 8s	1m 9s	99.4%	2.8 GB	5.2 GB	961.2 MB	11.9 MB
22	93/f4677e	110388	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473989)	COMPLETED	0	2023-03-09 06:24:21.127	48s	48s	99.0%	2.8 GB	5.2 GB	949.4 MB	9.1 MB
23	75/3f7fa5	112380	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3473986)	COMPLETED	0	2023-03-09 06:25:09.100	32.7s	32s	99.0%	2.8 GB	5.2 GB	949.2 MB	9 MB
24	a0/fd80b8	114051	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2023-03-09 06:25:41.822	2m 4s	2m 5s	179.2%	470.4 MB	934.8 MB	1.6 GB	947.1 MB
25	b1/744f93	116313	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473985)	COMPLETED	0	2023-03-09 06:27:46.262	1.8s	2s	34.2%	3.4 MB	7.3 MB	4.1 MB	3.3 MB
26	95/167593	116516	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473985)	COMPLETED	0	2023-03-09 06:27:48.113	2.8s	2s	72.6%	526.4 MB	862.8 MB	30.2 MB	254.5 KB
27	b8/582026	116847	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473984)	COMPLETED	0	2023-03-09 06:27:50.869	700ms	1s	83.7%	11.7 MB	1.7 GB	4.5 MB	3.7 MB
28	45/abff25	117012	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473984)	COMPLETED	0	2023-03-09 06:27:51.575	2.5s	3s	76.8%	530.4 MB	862.8 MB	30.6 MB	254.7 KB
30	c1/a44463	117350	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473987)	COMPLETED	0	2023-03-09 06:27:54.087	2.5s	2s	71.6%	525.5 MB	862.8 MB	30.1 MB	254.7 KB
29	8a/f33ba1	117648	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473987)	COMPLETED	0	2023-03-09 06:27:56.572	568ms	1s	97.5%	14.3 MB	1.7 GB	4.1 MB	3.4 MB
31	30/24ee62	117818	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473988)	COMPLETED	0	2023-03-09 06:27:57.146	611ms	0ms	117.1%	8.6 MB	1.7 GB	5.2 MB	4.3 MB
32	47/bc7bc6	118004	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473988)	COMPLETED	0	2023-03-09 06:27:57.768	2.8s	2s	86.9%	538.5 MB	869.8 MB	31.6 MB	254.6 KB
33	f0/0597bf	118320	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473989)	COMPLETED	0	2023-03-09 06:28:00.545	812ms	1s	59.8%	21.3 MB	1.7 GB	3.8 MB	3.1 MB
34	2c/cb38e8	118492	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473989)	COMPLETED	0	2023-03-09 06:28:01.366	2.5s	2s	76.6%	527 MB	862.8 MB	30.2 MB	254.4 KB
35	fc/fedb65	118833	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR3473986)	COMPLETED	0	2023-03-09 06:28:03.848	526ms	1s	101.3%	9.8 MB	1.7 GB	4 MB	3.3 MB
36	96/248b0c	118998	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR3473986)	COMPLETED	0	2023-03-09 06:28:04.382	2.5s	2s	70.6%	524.8 MB	862.8 MB	29.9 MB	254.6 KB
37	e2/9376b5	119293	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473985)	COMPLETED	0	2023-03-09 06:28:06.858	419ms	0ms	45.5%	6.6 MB	220.9 MB	3.4 MB	54.8 KB
39	ad/01b494	119454	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473984)	COMPLETED	0	2023-03-09 06:28:07.288	346ms	0ms	62.9%	6.4 MB	220.9 MB	3.8 MB	55.4 KB
41	02/e434e2	119634	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473987)	COMPLETED	0	2023-03-09 06:28:07.638	876ms	1s	14.1%	6.7 MB	220.9 MB	3.5 MB	57.4 KB
43	58/43dc83	119826	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473988)	COMPLETED	0	2023-03-09 06:28:08.522	295ms	0ms	71.0%	6.5 MB	220.9 MB	4.4 MB	57.5 KB
44	7f/3f12e6	119983	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473989)	COMPLETED	0	2023-03-09 06:28:08.822	315ms	1s	75.9%	6.4 MB	220.9 MB	3.2 MB	53.4 KB
45	5b/32d5e4	120141	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR3473986)	COMPLETED	0	2023-03-09 06:28:09.144	577ms	0ms	81.5%	6.5 MB	220.9 MB	3.4 MB	56.6 KB
46	f0/0a64d1	120298	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TX2GENE (mm10_chr18.gtf)	COMPLETED	0	2023-03-09 06:28:09.727	1.8s	2s	63.8%	81.5 MB	86.3 MB	22 MB	168.6 KB
50	79/38df18	120534	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473984)	COMPLETED	0	2023-03-09 06:28:11.545	398ms	0ms	97.7%	6.9 MB	222.2 MB	3.8 MB	56.8 KB
47	50/b9af1e	120712	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473985)	COMPLETED	0	2023-03-09 06:28:11.951	374ms	0ms	102.7%	6.8 MB	222.3 MB	3.4 MB	54.9 KB
52	2c/237976	120880	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473984)	COMPLETED	0	2023-03-09 06:28:12.335	310ms	0ms	81.5%	3.1 MB	5.4 MB	3.8 MB	5.3 KB
51	74/4c74f6	121059	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473987)	COMPLETED	0	2023-03-09 06:28:12.654	376ms	0ms	108.1%	7.1 MB	222.3 MB	3.5 MB	53.7 KB
49	44/3e5691	121226	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473985)	COMPLETED	0	2023-03-09 06:28:13.039	278ms	0ms	83.3%	6.4 MB	220.9 MB	3.4 MB	5.3 KB
53	16/16ac98	121386	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473987)	COMPLETED	0	2023-03-09 06:28:13.324	285ms	0ms	74.1%	6.4 MB	220.9 MB	3.5 MB	5.3 KB
54	f0/284811	121565	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473988)	COMPLETED	0	2023-03-09 06:28:13.617	284ms	0ms	80.0%	6.7 MB	220.9 MB	4.4 MB	5.3 KB
55	36/4c2b16	121727	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473989)	COMPLETED	0	2023-03-09 06:28:13.908	371ms	0ms	90.9%	3.1 MB	5.4 MB	3.2 MB	5.3 KB
59	20/7b14d2	121894	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473988)	COMPLETED	0	2023-03-09 06:28:14.286	375ms	0ms	100.0%	7.1 MB	222.3 MB	4.4 MB	56.7 KB
56	28/9549ba	122053	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR3473986)	COMPLETED	0	2023-03-09 06:28:14.670	287ms	0ms	81.8%	6.7 MB	220.9 MB	3.4 MB	5.3 KB
60	bf/9b80ce	122212	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473989)	COMPLETED	0	2023-03-09 06:28:14.961	612ms	0ms	109.1%	4.8 MB	20 MB	3.2 MB	54.2 KB
61	bb/bfa654	122377	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR3473986)	COMPLETED	0	2023-03-09 06:28:15.582	388ms	0ms	108.6%	6.8 MB	222.3 MB	3.4 MB	53.9 KB
57	85/933165	122543	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473984)	COMPLETED	0	2023-03-09 06:28:15.978	254ms	0ms	94.1%	3.1 MB	5.4 MB	158.9 KB	4.9 KB
48	80/722991	122705	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473985)	COMPLETED	0	2023-03-09 06:28:16.236	265ms	0ms	73.7%	3.1 MB	5.4 MB	158.4 KB	4.9 KB
62	d1/b8008b	122869	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473988)	COMPLETED	0	2023-03-09 06:28:16.511	241ms	0ms	82.4%	3 MB	5.4 MB	161.1 KB	4.9 KB
63	33/89da07	123024	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473989)	COMPLETED	0	2023-03-09 06:28:16.757	240ms	0ms	87.5%	3.2 MB	5.4 MB	156.9 KB	4.9 KB
64	86/e3e2c7	123179	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473986)	COMPLETED	0	2023-03-09 06:28:17.001	420ms	0ms	82.4%	3.1 MB	5.4 MB	160.2 KB	4.9 KB
58	09/95b110	123337	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR3473987)	COMPLETED	0	2023-03-09 06:28:17.428	369ms	0ms	84.2%	3.1 MB	5.4 MB	160.9 KB	4.9 KB
40	d7/c5f0f2	123786	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473984)	COMPLETED	0	2023-03-09 06:30:08.673	5.4s	5s	149.0%	2 GB	8.6 GB	35.2 MB	4.5 MB
38	1b/c36ded	124527	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473985)	COMPLETED	0	2023-03-09 06:30:14.071	5.2s	5s	158.3%	1.9 GB	8.6 GB	34.5 MB	4.2 MB
66	6b/b9b824	125375	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473988)	COMPLETED	0	2023-03-09 06:30:19.269	5.7s	5s	148.8%	2 GB	8.6 GB	36.4 MB	5.2 MB
67	18/f3b10d	126210	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473989)	COMPLETED	0	2023-03-09 06:30:24.992	5.6s	5s	143.9%	2 GB	8.6 GB	34 MB	3.9 MB
68	4d/0421a2	127007	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473986)	COMPLETED	0	2023-03-09 06:30:30.556	5.2s	5s	154.6%	1.5 GB	8.6 GB	34.4 MB	4.1 MB
42	46/cf536a	127703	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRR3473987)	COMPLETED	0	2023-03-09 06:30:35.744	5.4s	5s	150.9%	2 GB	8.7 GB	34.6 MB	4.2 MB
65	1d/00663f	128528	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TXIMPORT	COMPLETED	0	2023-03-09 06:30:41.144	13.6s	13s	99.5%	530.3 MB	858.6 MB	69.8 MB	772.6 KB
73	f7/44cc08	129523	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473984)	COMPLETED	0	2023-03-09 06:30:54.732	698ms	0ms	61.5%	6.7 MB	220.9 MB	4 MB	55.5 KB
76	62/2c4225	129704	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473985)	COMPLETED	0	2023-03-09 06:30:55.444	459ms	0ms	40.0%	6.6 MB	220.9 MB	3.6 MB	55 KB
85	7b/0c6400	129919	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473988)	COMPLETED	0	2023-03-09 06:30:55.908	445ms	0ms	53.7%	6.5 MB	220.9 MB	4.6 MB	57.5 KB
69	f1/18cb61	130094	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473984)	COMPLETED	0	2023-03-09 06:30:56.360	2.7s	1s	101.2%	2.8 MB	11 MB	9 MB	2.5 MB
80	5b/0dd1c5	130312	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473985)	COMPLETED	0	2023-03-09 06:30:59.028	2.3s	1s	105.0%	2.7 MB	11 MB	8.3 MB	2.4 MB
81	c8/7fb588	130521	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473988)	COMPLETED	0	2023-03-09 06:31:01.292	2.4s	1s	102.7%	2.8 MB	11 MB	10.5 MB	2.8 MB
87	88/2d1f94	130730	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473989)	COMPLETED	0	2023-03-09 06:31:03.743	2.3s	2s	98.2%	2.8 MB	11 MB	7.5 MB	2 MB
88	2f/7f6f86	130934	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473989)	COMPLETED	0	2023-03-09 06:31:06.063	390ms	0ms	44.4%	6.6 MB	220.9 MB	3.3 MB	53.5 KB
75	e7/ea0b18	131098	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473985)	COMPLETED	0	2023-03-09 06:31:06.459	1.5s	0ms	88.9%	2.8 MB	11 MB	23.9 MB	481.5 KB
86	83/4e3d73	131277	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473988)	COMPLETED	0	2023-03-09 06:31:07.940	1.5s	0ms	93.1%	2.8 MB	11 MB	24.9 MB	481.5 KB
74	07/67e948	131424	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473984)	COMPLETED	0	2023-03-09 06:31:09.394	1.4s	0ms	96.2%	2.8 MB	11 MB	24.3 MB	481.5 KB
89	44/cee7a2	131598	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473989)	COMPLETED	0	2023-03-09 06:31:10.827	1.4s	1s	96.2%	2.8 MB	11 MB	23.6 MB	481.5 KB
92	ab/e44fa4	131780	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473986)	COMPLETED	0	2023-03-09 06:31:12.275	1.4s	0ms	100.0%	2.8 MB	11 MB	23.8 MB	481.5 KB
90	8c/d3c8a9	131924	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473986)	COMPLETED	0	2023-03-09 06:31:13.723	472ms	1s	28.6%	6.6 MB	220.9 MB	3.5 MB	56.7 KB
91	ea/fcb7d8	132087	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473986)	COMPLETED	0	2023-03-09 06:31:14.200	2.3s	1s	102.2%	2.8 MB	11 MB	8.1 MB	2.4 MB
79	12/70981f	132284	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473985)	COMPLETED	0	2023-03-09 06:31:16.514	710ms	1s	100.9%	8.2 MB	14.4 MB	24.1 MB	5.9 MB
82	85/f7211a	132473	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473988)	COMPLETED	0	2023-03-09 06:31:17.229	812ms	1s	94.9%	8.3 MB	14.2 MB	25.1 MB	5.8 MB
72	3e/52c349	132632	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473984)	COMPLETED	0	2023-03-09 06:31:18.044	745ms	0ms	110.3%	7.8 MB	13.7 MB	24.7 MB	6.1 MB
93	8c/baa6aa	132788	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473989)	COMPLETED	0	2023-03-09 06:31:18.800	994ms	0ms	90.4%	9.1 MB	15.1 MB	23.8 MB	5.8 MB
94	7c/563221	132956	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473986)	COMPLETED	0	2023-03-09 06:31:19.802	652ms	1s	103.1%	6.9 MB	13.4 MB	24.1 MB	5.8 MB
97	92/47f2a3	133114	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (SRR3473987)	COMPLETED	0	2023-03-09 06:31:20.459	1.2s	1s	10.8%	6.6 MB	220.9 MB	3.6 MB	57.4 KB
96	36/cc5172	133301	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (SRR3473987)	COMPLETED	0	2023-03-09 06:31:21.643	2.5s	2s	101.9%	2.8 MB	11 MB	8.5 MB	2.6 MB
98	94/5404b7	133516	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (SRR3473987)	COMPLETED	0	2023-03-09 06:31:24.148	1.5s	0ms	100.0%	2.8 MB	11 MB	24 MB	481.5 KB
95	ab/9c5f9c	133656	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (SRR3473987)	COMPLETED	0	2023-03-09 06:31:25.617	737ms	1s	98.1%	7.5 MB	13.6 MB	24.2 MB	5.9 MB
131	67/1f93ac	133845	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (SRR3473985)	COMPLETED	0	2023-03-09 06:31:26.360	549ms	0ms	92.6%	3.1 MB	5.4 MB	2.2 MB	2.1 KB
132	2b/dd4c4d	134031	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (SRR3473988)	COMPLETED	0	2023-03-09 06:31:26.912	535ms	0ms	90.9%	7.6 MB	13.7 MB	2.2 MB	2.1 KB
133	04/9591c9	134190	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (SRR3473984)	COMPLETED	0	2023-03-09 06:31:27.453	458ms	0ms	92.3%	6.7 MB	13.7 MB	2.2 MB	2.1 KB
127	47/f1e1fe	134346	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (SRR3473985)	COMPLETED	0	2023-03-09 06:31:27.915	263ms	0ms	62.5%	7.7 MB	18.5 MB	659.9 KB	604 KB
126	92/9867db	134503	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (SRR3473984)	COMPLETED	0	2023-03-09 06:31:28.181	528ms	0ms	62.5%	6.1 MB	18.2 MB	698.6 KB	642.6 KB
128	d6/29eb95	134670	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (SRR3473985)	COMPLETED	0	2023-03-09 06:31:28.716	230ms	0ms	100.0%	6 MB	18.2 MB	664.3 KB	608.4 KB
